"","Code","Yield"
"3","ss603019",-0.0011592108658478
"177","ss600176",-0.00117330715747721
"8","sz000333",-0.0014166412171347
"76","sz002241",-0.00147888908496974
"32","ss601933",-0.00151379534227147
"126","ss600900",-0.00157963641705716
"189","sz000063",-0.00165714441006659
"182","ss600196",-0.00173488751538131
"29","sz002558",-0.00180440901102541
"185","sz000858",-0.00182484703198127
"222","ss600703",-0.00190566576057483
"180","sz000860",-0.00206170865399968
"91","sz002157",-0.00207036371573421
"55","sz002371",-0.00213657818941171
"159","ss600309",-0.0022255927759951
"94","sz002142",-0.00235984480904838
"43","sz002475",-0.00251796790458314
"136","ss600436",-0.00255700354403976
"143","ss600585",-0.0026035299099999
"206","sz000723",-0.00275903568871338
"110","ss600048",-0.00282326281057976
"155","ss600332",-0.0030550436624609
"62","sz002311",-0.00313251428299433
"60","sz300033",-0.00325991368160305
"238","ss600655",-0.00332497264255083
"237","ss600637",-0.00333024798137871
"63","ss600999",-0.00376620650741966
"217","ss600760",-0.00385493032048911
"166","sz000157",-0.0038973856338631
"132","ss600352",-0.0040169785237042
"203","sz000786",-0.00414887080971094
"24","ss601901",-0.00425198502614577
"73","sz002271",-0.00426312576300403
"178","sz000895",-0.00426738184660325
"23","sz002607",-0.00432630010175905
"75","sz002252",-0.00463235591124178
"228","sz000568",-0.00480434060418622
"13","ss601238",-0.00529365606663523
"187","ss600009",-0.00529455576856896
"11","sz002673",-0.00536799676041222
"120","sz002007",-0.00536839313036197
"16","ss601360",-0.0076054514170758
"45","sz002466",-0.00762324153217198
"39","ss601377",-0.00767231774868304
"225","ss600887",-0.00811310528476317
"152","ss600588",-0.00820268376926148
"227","ss600867",-0.0087747096941202
"115","sz002032",-0.00889322384427915
"112","sz002050",-0.00966002488902751
"212","sz000661",-0.0101037340648304
"141","ss600516",-0.0102994605843854
"67","sz300015",-0.0115017648933474
"138","ss600030",-0.011675462712823
"210","sz000708",-0.0137268606869049
"219","sz000425",-0.014688102169239
"167","sz000977",-0.0170865744606744
"6","sz002714",-0.0263984903213573
"148","ss600498",-0.029390055149502
"15","ss601231",-0.0349913193402194
"26","sz002601",-0.0361353820672498
"127","ss600406",-0.0398952224831522
"79","ss601899",-0.0479202288716579
"153","ss600383",-0.0489927270091831
"25","sz002602",-0.0606786172535742
"2","sz300408",-0.0674136572901963
"20","ss601100",-0.0686528416962655
"92","sz002153",-0.0730178671890593
"27","sz002594",-0.0942700039651927
"175","sz000938",-0.119197496239397
